?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_1060180>	"brain stem glioblastoma"	"A glioblastoma localized in the brain stem."	""	
<http://purl.obolibrary.org/obo/MONDO_1060182>	"PCCA-related propionic acidemia"	"Any propionic acidemia in which the cause of the disease is a variation in PCCA gene."	""	
<http://purl.obolibrary.org/obo/MONDO_1060183>	"PCCB-related propionic acidemia"	"Any propionic acidemia in which the cause of the disease is a variation in PCCB gene."	""	
<http://purl.obolibrary.org/obo/MONDO_1060184>	"EGLN1-related erythrocytosis and pheochromocytoma/paraganglioma predisposition"	"Hereditary cancer predisposition due to variation(s) in the EGLN12 gene, which confers a predisposition to erythrocytosis and pheochromocytoma/paraganglioma."	""	
<http://purl.obolibrary.org/obo/MONDO_1060185>	"systemic lupus erythematosus 18"	"Any systemic lupus erythematosus in which the cause of the disease is a variation in the PLD4 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_1060188>	"small plaque parapsoriasis"	"A variant of parapsoriasis characterized by round-to-oval plaques less than 5cm in diameter, and it rarely progresses."	""	
<http://purl.obolibrary.org/obo/MONDO_1060189>	"large plaque parapsoriasis"	"A variant of parapsoriasis characterized by erythematous-to-brown patches or thin plaques with fine scales larger than 5cm in diameter. It has a substantial risk to evolve to mycosis fungoides."	""	
<http://purl.obolibrary.org/obo/MONDO_1060193>	"X-linked intellectual disability with or without nystagmus"	"An X-linked intelelctual disability in which the cause of the disease is hypomorphic CASK pathogenic variants. Affected individuals present with intellectual disability with or without congenital nystagmus. Additional features often include epilepsy, speech impairment, motor delay, and variable brain malformations. Phenotypic severity ranges from mild cognitive impairment to severe developmental disability."	""	
<http://purl.obolibrary.org/obo/MONDO_1060194>	"FAS-related autoimmune lymphoproliferative immune disorder"	"An autoimmune lymphoproliferative syndrome that results from defective lymphocyte homoestasis, and is caused by variants in the FAS gene. It is characterized by non-malignant lymphoproliferation, autoimmune disease, and lifelong increased risk for both Hodgkin and non-Hodgkin lymphoma."	""	
<http://purl.obolibrary.org/obo/MONDO_1060195>	"SH2B3-related immune system disorder"	"A predisposition caused by a mutation in SH2B3 gene that presents with myeloproliferation and/or multi-organ autoimmunity."	""	
<http://purl.obolibrary.org/obo/MONDO_1060197>	"congenital heart disease with heterotaxy syndrome"	"A heart disease that is present at birth that occurs with variable extracardiac laterality defects. Features of visceral heterotaxy are not always present but can include abnormal location of the organs within the thoracic, abdominal, or peritoneal cavities. Anatomic and functional problems can include intestinal malrotation leading to volvulus, biliary atresia, and various defects of the central nervous system, urinary tract, and skeleton."	""	
<http://purl.obolibrary.org/obo/MONDO_1060202>	"toxic thyroid adenoma"	"A condition in which a single benign adenoma on the thyroid gland  autonomously secretes excessive thyroid hormone, leading to primary hyperthyroidism."	""	
<http://purl.obolibrary.org/obo/MONDO_1060203>	"hypothalamic hyperthyroidism"	"A form of secondary hyperthyroidism caused by pathology in the hypothalamus leading to excessive stimulation of the pituitary gland and subsequent overproduction of TSH, resulting in elevated thyroid hormone levels."	""	
<http://purl.obolibrary.org/obo/MONDO_1060205>	"dysmenorrhea"	"A menstrual disorder characterized by pain during the menstrual cycle."	""	
<http://purl.obolibrary.org/obo/MONDO_1060206>	"primary dysmenorrhea"	"A form of dysmenorrhea characterized by recurrent menstrual pain without any identifiable underlying pelvic pathology, representing a diagnosis of exclusion. Symptoms typically emerge within two years of menarche."	""	
<http://purl.obolibrary.org/obo/MONDO_1060207>	"secondary dysmenorrhea"	"A form of dysmenorrhea associated with suspected or clinically identifiable pelvic pathology, such as endometriosis, uterine fibroids, or adenomyosis."	""	
<http://purl.obolibrary.org/obo/MONDO_1060208>	"primary amenorrhea"	"A form of amenorrhea defined by the absence of menstruation by the age of 15 years, or by 3 years after the onset of breast development (thelarche)."	""	
<http://purl.obolibrary.org/obo/MONDO_1060209>	"secondary amenorrhea"	"A form of amenorrhea characterized by the absence of menses for 3 or more months in a woman with previously regular menstrual cycles, or 6 or more months in any woman who has had at least one previous spontaneous menstruation."	""	
<http://purl.obolibrary.org/obo/MONDO_1060210>	"functional hypothalamic amenorrhea"	"A form of secondary amenorrhea caused by suppression of the hypothalamic-pituitary-ovarian axis without identifiable organic pathology, typically associated with energy deficiency, excessive exercise, psychological stress, or low body weight."	""	
<http://purl.obolibrary.org/obo/MONDO_1060213>	"reticular pseudodrusen"	"A retinal drusen characterized by subretinal deposits located internal to the retinal pigment epithelium, composed of material aggregations in the subretinal space between photoreceptors and the retinal pigment epithelium. These deposits have a bluish-white appearance by biomicroscopy and appear as hyperreflective lesions above the retinal pigment epithelium on optical coherence tomography."	""	
<http://purl.obolibrary.org/obo/MONDO_1060215>	"preneoplastic lesion"	"A precancerous condition characterized by accumulation of some molecular alterations necessary for malignant transformation in a clonal proliferation of cells, representing an intermediate stage in carcinogenesis with increased risk of progression to invasive neoplasia."	""	
<http://purl.obolibrary.org/obo/MONDO_1060216>	"TSEN2-related neurodevelopmental disorder with or without thrombotic microangiopathy"	"Any neurodevelopmental disorder in which the cause of the disease is a variation in the TSEN2 gene. This condition is associated with intellectual disability, growth delay, hypotonia, motor delay, ataxia, vision issues, cardiac features (including left ventricular hypertrophy), and pulmonary complications (such as acute respiratory distress and edema). It is also linked to brain structural anomalies such as pontine and cerebellar hypoplasia, cortical atrophy, and dilated ventricles. Renal features include proteinuria, thrombotic microangiopathy, end-stage kidney disease, and high-severity hypertension."	""	
<http://purl.obolibrary.org/obo/MONDO_1060217>	"xanthomatous hypophysitis"	"A rare hypophysitis characterized histologically by mixed inflammatory cell infiltrates consisting of foamy histiocytes, plasma cells, and small round mature lymphocytes infiltrating the anterior pituitary gland. The tissue often contains cystic-like areas of liquefaction filled with lipid-laden macrophages along with lymphocytes and plasma cells."	""	
<http://purl.obolibrary.org/obo/MONDO_1060218>	"xanthogranulomatous hypophysitis"	"A hypophysitis exhibiting histologic features of both xanthomatous and granulomatous hypophysitis, characterized by cholesterol clefts, haemosiderin deposits, multinucleated giant cells, macrophage accumulation and fibrous proliferation."	""	
<http://purl.obolibrary.org/obo/MONDO_1060219>	"necrotizing hypophysitis"	"A rare hypophysitis defined histologically by extensive necrosis of pituitary tissue surrounded by lymphocytes, plasma cells, and eosinophils."	""	
<http://purl.obolibrary.org/obo/MONDO_1060220>	"split cord malformation type I"	"A rare subtype of split cord malformation characterized by each hemicord contained in its own dural sac, typically with an intervening bony or cartilaginous septum."	""	
<http://purl.obolibrary.org/obo/MONDO_1060222>	"split cord malformation, composite type"	"A rare intermediate form of split cord malformation characterized by both hemichords encapsulated in a single dural sac with presence of an incomplete ventral or dorsal bony spur."	""	
<http://purl.obolibrary.org/obo/MONDO_1060224>	"STAT5 haploinsufficiency"	"A condition characterized by haploinsufficient levels of STAT5 protein due to reduced copy number or expression of the STAT5A and/or STAT5B genes, with consequent attenuation of STAT5-mediated cytokine signalling (including IL-7 and growth hormone pathways). This condition is also associated with altered lymphocyte homeostasis and modified susceptibility to lymphoma development."	""	
<http://purl.obolibrary.org/obo/MONDO_1060225>	"TTN-related myopathy, dominant-negative TTNsv"	"A skeletal muscle disorder caused by heterozygous multi-exon in-frame structural variants of TTN (TTNsv) that escape nonsense-mediated decay and result in expression of an internally deleted titin isoform with dominant-negative effects on sarcomere structure and function. Affected individuals typically present with congenital, childhood-onset, or adult-onset proximal and/or distal muscle weakness, often accompanied by joint contractures, and may develop respiratory involvement or cardiomyopathy."	""	
<http://purl.obolibrary.org/obo/MONDO_1060227>	"systemic lupus erythematosus related to C1QC"	"Any systemic lupus erythematosus in which the cause of the disease is a variation in the C1QC gene."	""	
<http://purl.obolibrary.org/obo/MONDO_1060228>	"systemic lupus erythematosus related to C1QB"	"Any systemic lupus erythematosus in which the cause of the disease is a variation in the C1QB gene."	""	
<http://purl.obolibrary.org/obo/MONDO_1060229>	"green tobacco sickness"	"An occupational illness caused by transdermal absorption of nicotine from handling wet, uncured tobacco leaves, presenting with nausea, vomiting, dizziness, headache, weakness, and other autonomic symptoms. Predominantly affects tobacco farmworkers during harvesting, topping, and curing activities."	""	
<http://purl.obolibrary.org/obo/MONDO_1060230>	"BLOC1S1-related complex neurodevelopmental disorder with leukodystrophy"	"Any complex neurodevelopmental disorder in which the cause of the disease is a variationn in the BLOC1S1 gene. The disorder is characterized by intellectual disability, global developmental delay, leukodystrophy, optic atrophy, seizures, abnormal or delayed myelination, and spasticity; some individuals also present with mild features of hypopigmentation and ocular albinism."	""	
<http://purl.obolibrary.org/obo/MONDO_1060231>	"AIP-related pituitary adenoma predisposition"	"A predisposition to pituitary adenoma due to variation(s) in the AIP gene."	""	
<http://purl.obolibrary.org/obo/MONDO_1060237>	"GP9-related Bernard-Soulier syndrome"	"Any Bernard-Soulier syndrome caused by the variation in the GP9 gene, marked by absent or markedly reduced GPIb-IX-V complex expression, resulting in impaired platelet adhesion and lifelong mucocutaneous bleeding. Platelets are large and functionally deficient, with severely reduced ristocetin-induced agglutination reflecting loss of functional GPIX within the receptor complex. Variants in GP9 disrupt synthesis or stability of the GPIX subunit, preventing proper assembly of the GPIb-IX-V complex and producing the characteristic bleeding phenotype."	""	
<http://purl.obolibrary.org/obo/MONDO_1060238>	"GP1BA-related Bernard-Soulier syndrome"	"Any Bernard-Soulier syndrome in which the cause of the disease is a variation in the GP1BA gene, characterized by macrothrombocytopenia, reduced or absent expression of the GPIb-IX-V complex, and lifelong mucocutaneous bleeding. Affected individuals have large platelets with defective ristocetin-induced agglutination, reflecting the absence or dysfunction of GPIbα on the platelet surface. Variants in GP1BA impair production, trafficking, or incorporation of GPIbα into the receptor complex, preventing normal surface assembly and leading to the classic BSS adhesion defect."	""	
<http://purl.obolibrary.org/obo/MONDO_1060239>	"GP1BB-related Bernard-Soulier syndrome"	"Any Bernard-Soulier syndrome caused by deficiency or dysfunction of GPIbβ, leading to markedly decreased GPIb-IX-V surface expression and impaired platelet adhesion. Platelets are enlarged and poorly responsive to ristocetin, consistent with severe reduction of the assembled receptor complex. Variants in GP1BB affect production or proper folding of the GPIbβ subunit, preventing formation of the full receptor complex and resulting in the characteristic Bernard-Soulier phenotype."	""	
<http://purl.obolibrary.org/obo/MONDO_1060244>	"THG1L-related epileptic encephalopathy"	"Any genetic developmental and epileptic encephalopathy in which the cause of the disease is a biallelic variation in the THG1L gene, characterized by profound developmental delay, microcephaly, intractable epilepsy, and cerebellar hypoplasia."	""	
<http://purl.obolibrary.org/obo/MONDO_7770001>	"equine juvenile spinocerebellar ataxia, FDXR-related, horse"	"Any spinocerebellar ataxia that occurs in horses due to a variation in the FDXR gene. EJSCA is a degenerative axonopathy characterized by acute onset of ataxia within the first month of life, affecting the pelvic limbs more severely than the thoracic limb and rapidly progressing to inability to stand."	""	
<http://purl.obolibrary.org/obo/MONDO_7770002>	"avoidant/restrictive food intake disorder"	"An eating disorder characterized by avoidance or restriction of food intake due to one or more of the following: lack of interest in eating or food, sensitivity to sensory characteristics of food (such as taste, texture, smell, or appearance), or concern about aversive consequences of eating (such as choking or vomiting), resulting in persistent failure to meet appropriate nutritional and/or energy needs as manifested by significant weight loss, nutritional deficiency, dependence on enteral feeding or nutritional supplements, or marked interference with psychosocial functioning, and where the eating disturbance is not better explained by lack of available food, cultural or religious practices, another mental disorder, or a concurrent medical condition."	""	
<http://purl.obolibrary.org/obo/MONDO_7770003>	"cystic fibrosis-related diabetes"	"A form of diabetes mellitus unique to individuals with cystic fibrosis (CF), arising primarily from progressive fibrotic destruction of the pancreas leading to insulin deficiency, with additional contributions from insulin resistance. CFRD affects approximately 20% of adolescents and 40-50% of adults with CF. It shares features with both type 1 and type 2 diabetes but is a distinct clinical entity with its own diagnostic criteria and management guidelines."	""	
<http://purl.obolibrary.org/obo/MONDO_7770005>	"cystic fibrosis-related liver disease"	"A liver disorder that arises as a consequence of cystic fibrosis. Cystic fibrosis-related liver disease encompasses a spectrum of hepatobiliary abnormalities caused by CFTR dysfunction in cholangiocytes, including focal biliary cirrhosis, multilobular biliary cirrhosis, hepatic steatosis, and cholangiopathy. It is a significant cause of non-pulmonary morbidity and mortality in CF, affecting approximately 5-10% of CF patients."	""	
<http://purl.obolibrary.org/obo/MONDO_7770028>	"spongiform myelopathy, cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770031>	"ascites, cockatiel"		""	
<http://purl.obolibrary.org/obo/MONDO_7770051>	"short tail sperm, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770052>	"gray coat color, STX17-related, horse"	"Any integumentary system disorder, occurring in horse, in which the cause of the disease is a variation in the STX17 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770054>	"dominant white coat color, KIT-related, horse"	"Any integumentary system disorder, occurring in horse, in which the cause of the disease is a variation in the KIT gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770058>	"macrostomus, rhesus macaque"		""	
<http://purl.obolibrary.org/obo/MONDO_7770059>	"silver coat color, PMEL-related, horse"	"Any integumentary system disorder, occurring in horse, in which the cause of the disease is a variation in the PMEL gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770060>	"leukocyte adhesion deficiency, water buffalo"		""	
<http://purl.obolibrary.org/obo/MONDO_7770067>	"inflammatory bowel disease, dog"	"Inflammatory bowel disease that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770068>	"inflammatory bowel disease, domestic cat"	"Inflammatory bowel disease that occurs in domestic cat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770069>	"white spotting coat colour, MITF-related, horse"	"Any integumentary system disorder, occurring in horse, in which the cause of the disease is a variation in the MITF gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770070>	"auditory-pigmentary syndrome, PAX3-related, horse"	"Any integumentary system disorder, occurring in horse, in which the cause of the disease is a variation in the PAX3 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770072>	"pink eye, chicken"		""	
<http://purl.obolibrary.org/obo/MONDO_7770082>	"aspiration pneumonia, dog"	"Aspiration pneumonia that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770091>	"cataract and non-ketotic hyperglycinemia, grivet"	"Cataract and non-ketotic hyperglycinemia that occurs in grivet."	""	
<http://purl.obolibrary.org/obo/MONDO_7770096>	"leopard complex spotting coat colour, TRPM1-related, horse"	"Any integumentary system disorder, occurring in horse, in which the cause of the disease is a variation in the TRPM1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770097>	"cataract, grivet"	"Cataract that occurs in grivet."	""	
<http://purl.obolibrary.org/obo/MONDO_7770098>	"macrothrombocytopenia, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770104>	"ectodermal dysplasia, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770105>	"ectodermal dysplasia, rabbit"		""	
<http://purl.obolibrary.org/obo/MONDO_7770106>	"haplotype with homozygous deficiency NH8, cattle"		""	
<http://purl.obolibrary.org/obo/MONDO_7770109>	"vitamin D-deficiency rickets, CYP2R1-related, domestic cat"	"Any metabolic disease, occurring in domestic cat, in which the cause of the disease is a variation in the CYP2R1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770111>	"oculocutaneous albinism, TYR-related, axolotl"	"Any oculocutaneous albinism, occurring in axolotl, in which the cause of the disease is a variation in the TYR gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770113>	"obesity, domestic cat"	"Obesity that occurs in domestic cat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770114>	"obesity, horse"	"Obesity that occurs in horse."	""	
<http://purl.obolibrary.org/obo/MONDO_7770116>	"albinism coat color, red-necked wallaby"		""	
<http://purl.obolibrary.org/obo/MONDO_7770118>	"oculocutaneous albinism, Japanese raccoon dog"	"Oculocutaneous albinism that occurs in Japanese raccoon dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770134>	"spinal muscular atrophy, KDSR-related, cattle"	"Any spinal muscular atrophy, occurring in cattle, in which the cause of the disease is a variation in the KDSR gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770149>	"hemifacial microsomia, LAMB1-related, cattle"	"Any musculoskeletal system disorder, occurring in cattle, in which the cause of the disease is a variation in the LAMB1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770163>	"arrhythmogenic left ventricular cardiomyopathy, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770166>	"Parkinson disease, dog"	"Parkinson disease that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770167>	"fragile X syndrome, chicken"		""	
<http://purl.obolibrary.org/obo/MONDO_7770168>	"testicular agenesis, dog"	"Testicular agenesis that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770169>	"albinism skin color, goldfish"		""	
<http://purl.obolibrary.org/obo/MONDO_7770170>	"primary ciliary dyskinesia, STK36-related, dog"	"Any primary ciliary dyskinesia, occurring in dog, in which the cause of the disease is a variation in the STK36 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770171>	"Usher syndrome, rabbit"	"Usher syndrome that occurs in rabbit."	""	
<http://purl.obolibrary.org/obo/MONDO_7770172>	"skeletal dysplasia, FGD3-related, cattle"	"Any skeletal dysplasia, occurring in cattle, in which the cause of the disease is a variation in the FGD3 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770173>	"haplotype with homozygous deficiency JBH17, CDC45-related, cattle"	"Any hereditary disease, occurring in cattle, in which the cause of the disease is a variation in the CDC45 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770174>	"delayed postoperative hemorrhage, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770175>	"asthenoteratozoospermia, macaque"		""	
<http://purl.obolibrary.org/obo/MONDO_7770176>	"asthenoteratozoospermia, northern tree shrew"		""	
<http://purl.obolibrary.org/obo/MONDO_7770177>	"meningioma, wildcat"	"Meningioma that occurs in wildcat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770178>	"meningioma, domestic cat"	"Meningioma that occurs in domestic cat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770179>	"meningioma, dog"	"Meningioma that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770180>	"anterior segment dysgenesis, domestic cat"	"Anterior segment dysgenesis that occurs in domestic cat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770181>	"anterior segment dysgenesis, dog"	"Anterior segment dysgenesis that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770183>	"Rett syndrome, rhesus macaque"		""	
<http://purl.obolibrary.org/obo/MONDO_7770184>	"inflammatory bowel disease, pig"	"Inflammatory bowel disease that occurs in pig."	""	
<http://purl.obolibrary.org/obo/MONDO_7770185>	"thoracolumbar myelopathy, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770187>	"inflammation and necrosis syndrome, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770188>	"corneal ulceration, dog"	"Corneal ulceration that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770189>	"Stargardt disease, pig"	"Stargardt disease 1 that occurs in pig."	""	
<http://purl.obolibrary.org/obo/MONDO_7770190>	"infertility, dzo"		""	
<http://purl.obolibrary.org/obo/MONDO_7770191>	"paradoxical pseudomyotonia, SLC7A10-related, dog"	"Any musculoskeletal system disorder, occurring in dog, in which the cause of the disease is a variation in the SLC7A10 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770192>	"progressive retinal atrophy, GUCY2D-related, dog"	"Any progressive retinal atrophy, occurring in dog, in which the cause of the disease is a variation in the GUCY2D gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770193>	"caudal articular process dysplasia, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770194>	"circadian disruption, macaque"		""	
<http://purl.obolibrary.org/obo/MONDO_7770195>	"ectopic paw pads, domestic cat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770196>	"mammary gland abnormality, sheep"		""	
<http://purl.obolibrary.org/obo/MONDO_7770197>	"neuronal ceroid lipofuscinosis, TPP1-related, macaque"	"Any neuronal ceroid lipofuscinosis, occurring in macaque, in which the cause of the disease is a variation in the TPP1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770199>	"heterotopic ossification, gray parrot"		""	
<http://purl.obolibrary.org/obo/MONDO_7770200>	"cataract, donkey"	"Cataract that occurs in donkey."	""	
<http://purl.obolibrary.org/obo/MONDO_7770201>	"chromosomal abnormality, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770202>	"macrocephaly, macaque"		""	
<http://purl.obolibrary.org/obo/MONDO_7770203>	"non-epidermolytic ichthyosis, SDR9C7-related, dog"	"Any integumentary system disorder, occurring in dog, in which the cause of the disease is a variation in the SDR9C7 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770204>	"xanthinuria, XDH-related, domestic cat"	"Any xanthinuria, occurring in domestic cat, in which the cause of the disease is a variation in the XDH gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770207>	"ureter abnormality, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770208>	"paroxysmal dystonia-ataxia syndrome, TNR-related, dog"	"Any nervous system disorder, occurring in dog, in which the cause of the disease is a variation in the TNR gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770210>	"spondylolisthesis, chicken"	"Spondylolisthesis that occurs in chicken."	""	
<http://purl.obolibrary.org/obo/MONDO_7770211>	"adactyly, rhesus macaque"		""	
<http://purl.obolibrary.org/obo/MONDO_7770212>	"sebaceous gland dysplasia, SOAT1-related, domestic cat"	"Any sebaceous gland dysplasia, occurring in domestic cat, in which the cause of the disease is a variation in the SOAT1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770214>	"sterile, pig"		""	
<http://purl.obolibrary.org/obo/MONDO_7770215>	"RAD50 double-stranded break point repair protein deficiency, medaka"		""	
<http://purl.obolibrary.org/obo/MONDO_7770217>	"lameness, goat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770218>	"claw/hoof disorders, goat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770219>	"chronic lymphocytic leukemia, mule"	"Chronic lymphocytic leukemia that occurs in mule."	""	
<http://purl.obolibrary.org/obo/MONDO_7770220>	"inflammatory bowel disease, horse"	"Inflammatory bowel disease that occurs in horse."	""	
<http://purl.obolibrary.org/obo/MONDO_7770221>	"elliptocytosis, dog"	"Elliptocytosis that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770222>	"Fanconi syndrome, FAN1-related, dog"	"Any Fanconi syndrome, occurring in dog, in which the cause of the disease is a variation in the FAN1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770223>	"leukodystrophy, CYTB-related, dog"	"Any leukodystrophy, occurring in dog, in which the cause of the disease is a variation in the CYTB gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770224>	"cleft lip, dog"	"Cleft lip that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770225>	"deficiency color vision, common marmoset"	"Deficiency color vision that occurs in common marmoset."	""	
<http://purl.obolibrary.org/obo/MONDO_7770226>	"deficiency color vision, macaque"	"Deficiency color vision that occurs in macaque."	""	
<http://purl.obolibrary.org/obo/MONDO_7770227>	"microcephaly, YIPF5-related, rabbit"	"Any microcephaly, occurring in rabbit, in which the cause of the disease is a variation in the YIPF5 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770228>	"cor triatriatum sinister, goat"	"Cor triatriatum sinister that occurs in goat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770229>	"double-outlet right ventricle, goat"	"Double-outlet right ventricle that occurs in goat."	""	
<http://purl.obolibrary.org/obo/MONDO_7770231>	"congenital stationary night blindness, GRM6-related, horse"	"Any congenital blindness, occurring in horse, in which the cause of the disease is a variation in the GRM6 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770232>	"achondroplasia, PRICKLE1-related, sheep"	"Any achondroplasia, occurring in sheep, in which the cause of the disease is a variation in the PRICKLE1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770233>	"craniofacial deformities, Nile tilapia"		""	
<http://purl.obolibrary.org/obo/MONDO_7770234>	"complex vertebral malformation, elk"		""	
<http://purl.obolibrary.org/obo/MONDO_7770236>	"hypercholesterolaemia, LDLR-related and MBTPS2-related, rhesus macaque"	"Any metabolic disease, occurring in rhesus macaque, in which the cause of the disease is a variation in the LDLR and MBTPS2 genes."	""	
<http://purl.obolibrary.org/obo/MONDO_7770237>	"spondyloocular syndrome, medaka"		""	
<http://purl.obolibrary.org/obo/MONDO_7770241>	"ataxia, middle-African hedgehog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770242>	"infertility, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770244>	"Waldenström macroglobulinaemia, dog"	"Waldenström macroglobulinaemia that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770245>	"nasal dermal arteritis, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770246>	"cleft lip and jaw, bilateral, cattle"	"Cleft lip and jaw, bilateral that occurs in cattle."	""	
<http://purl.obolibrary.org/obo/MONDO_7770247>	"dilated cardiomyopathy, ABCC9-related, dog"	"Any dilated cardiomyopathy, occurring in dog, in which the cause of the disease is a variation in the ABCC9 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770248>	"Parkinson disease, white-tufted-ear marmoset"	"Parkinson disease that occurs in white-tufted-ear marmoset."	""	
<http://purl.obolibrary.org/obo/MONDO_7770249>	"patellar fracture and dental anomaly syndrome, domestic cat"		""	
<http://purl.obolibrary.org/obo/MONDO_7770250>	"deficiency color vision, tufted capuchin"	"Deficiency color vision that occurs in tufted capuchin."	""	
<http://purl.obolibrary.org/obo/MONDO_7770251>	"brachygnathia, giraffe"		""	
<http://purl.obolibrary.org/obo/MONDO_7770252>	"wry nose, giraffe"		""	
<http://purl.obolibrary.org/obo/MONDO_7770253>	"midfacial cleft, giraffe"		""	
<http://purl.obolibrary.org/obo/MONDO_7770254>	"cone degeneration, dog"	"Cone degeneration that occurs in dog."	""	
<http://purl.obolibrary.org/obo/MONDO_7770255>	"megaoesophagus, MCHR2-related, dog"	"Any digestive system disorder, occurring in dog, in which the cause of the disease is a variation in the MCHR2 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770256>	"frontonasal dysplasia, ALX1-related, domestic cat"	"Any frontonasal dysplasia, occurring in domestic cat, in which the cause of the disease is a variation in the ALX1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770257>	"lameness, chicken"		""	
<http://purl.obolibrary.org/obo/MONDO_7770258>	"sacral agenesis, dog"		""	
<http://purl.obolibrary.org/obo/MONDO_7770259>	"junctional epidermolysis bullosa, ITGA6-related, cattle"	"Any junctional epidermolysis bullosa, occurring in cattle, in which the cause of the disease is a variation in the ITGA6 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770260>	"alopecia, American red squirrel"	"Alopecia that occurs in American red squirrel."	""	
<http://purl.obolibrary.org/obo/MONDO_7770261>	"progressive retinal atrophy, CNGB1-related, dog"	"Any progressive retinal atrophy, occurring in dog, in which the cause of the disease is a variation in the CNGB1 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770262>	"lymph node aplasia, sheep"		""	
<http://purl.obolibrary.org/obo/MONDO_7770263>	"frontotemporal dementia and/or amyotrophic lateral sclerosis 1, macaque"		""	
<http://purl.obolibrary.org/obo/MONDO_7770264>	"dwarfism, ACAN-related, zebu cattle"	"Any dwarfism, occurring in zebu cattle, in which the cause of the disease is a variation in the ACAN gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770266>	"hypomyelinating polyneuropathy, MTMR2-related, dog"	"Any nervous system disorder, occurring in dog, in which the cause of the disease is a variation in the MTMR2 gene."	""	
<http://purl.obolibrary.org/obo/MONDO_7770267>	"alopecia, white-tailed deer"	"Alopecia that occurs in white-tailed deer."	""	
