?term	?term_label	?related	?xref2
<http://purl.obolibrary.org/obo/MONDO_0012242>	"VVS"	"syncope, familial VASOVAGAL"	"OMIM:609289"
<http://purl.obolibrary.org/obo/MONDO_0012242>	"VVS"	"syncope, familial VASOVAGAL"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012708>	"PLSA1"	"primary lateral sclerosis, ADULT, 1"	"OMIM:611637"
<http://purl.obolibrary.org/obo/MONDO_0012708>	"PLSA1"	"primary lateral sclerosis, ADULT, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012262>	"CFEOM3C"	"fibrosis of extraocular muscles, congenital, 3C"	"OMIM:609384"
<http://purl.obolibrary.org/obo/MONDO_0012262>	"CFEOM3C"	"fibrosis of extraocular muscles, congenital, 3C"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011926>	"PSORS9"	"psoriasis 9, susceptibility to"	"OMIM:607857"
<http://purl.obolibrary.org/obo/MONDO_0011926>	"PSORS9"	"psoriasis 9, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012620>	"HPC10"	"prostate cancer, hereditary, 10"	"OMIM:611100"
<http://purl.obolibrary.org/obo/MONDO_0012620>	"HPC10"	"prostate cancer, hereditary, 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0014277>	"DDH2"	"developmental dysplasia of the hip 2"	"OMIM:615612"
<http://purl.obolibrary.org/obo/MONDO_0014277>	"DDH2"	"developmental dysplasia of the hip 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012542>	"PSORS8"	"psoriasis 8, susceptibility to"	"OMIM:610707"
<http://purl.obolibrary.org/obo/MONDO_0012542>	"PSORS8"	"psoriasis 8, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010309>	"MRX42"	"mental retardation, X-linked 42"	"OMIM:300372"
<http://purl.obolibrary.org/obo/MONDO_0010309>	"MRX42"	"mental retardation, X-linked 42"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012754>	"NNO3"	"nanophthalmos 3"	"OMIM:611897"
<http://purl.obolibrary.org/obo/MONDO_0012754>	"NNO3"	"nanophthalmos 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013703>	"MRT33"	"mental retardation, autosomal recessive 33"	"OMIM:614341"
<http://purl.obolibrary.org/obo/MONDO_0013703>	"MRT33"	"mental retardation, autosomal recessive 33"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011300>	"MYP3"	"myopia 3, autosomal dominant"	"OMIM:603221"
<http://purl.obolibrary.org/obo/MONDO_0011300>	"MYP3"	"myopia 3, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012451>	"EOE1"	"esophagitis, eosinophilic, 1"	"OMIM:610247"
<http://purl.obolibrary.org/obo/MONDO_0012451>	"EOE1"	"esophagitis, eosinophilic, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013121>	"GLC3C"	"glaucoma 3, primary congenital, C"	"OMIM:613085"
<http://purl.obolibrary.org/obo/MONDO_0013121>	"GLC3C"	"glaucoma 3, primary congenital, C"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012619>	"MRT11"	"intellectual disability, autosomal recessive 11"	"OMIM:611097"
<http://purl.obolibrary.org/obo/MONDO_0012619>	"MRT11"	"intellectual disability, autosomal recessive 11"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010360>	"PARK12"	"Parkinson disease 12"	"OMIM:300557"
<http://purl.obolibrary.org/obo/MONDO_0010360>	"PARK12"	"Parkinson disease 12"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010324>	"MRX81"	"mental retardation, X-linked 81"	"OMIM:300433"
<http://purl.obolibrary.org/obo/MONDO_0010324>	"MRX81"	"mental retardation, X-linked 81"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011072>	"NIDDM2"	"diabetes mellitus, noninsulin-dependent, 2"	"OMIM:601407"
<http://purl.obolibrary.org/obo/MONDO_0011072>	"NIDDM2"	"diabetes mellitus, noninsulin-dependent, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012617>	"MRT9"	"intellectual disability, autosomal recessive 9"	"OMIM:611095"
<http://purl.obolibrary.org/obo/MONDO_0012617>	"MRT9"	"intellectual disability, autosomal recessive 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013705>	"MRT19"	"intellectual disability, autosomal recessive 19"	"OMIM:614343"
<http://purl.obolibrary.org/obo/MONDO_0013705>	"MRT19"	"intellectual disability, autosomal recessive 19"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010267>	"EMWX"	"episodic muscle weakness, X-linked"	"OMIM:300211"
<http://purl.obolibrary.org/obo/MONDO_0010267>	"EMWX"	"episodic muscle weakness, X-linked"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013629>	"MRT16"	"intellectual disability, autosomal recessive 16"	"OMIM:614208"
<http://purl.obolibrary.org/obo/MONDO_0013629>	"MRT16"	"intellectual disability, autosomal recessive 16"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010322>	"MRX2"	"intellectual disability, X-linked 2"	"OMIM:300428"
<http://purl.obolibrary.org/obo/MONDO_0010322>	"MRX2"	"intellectual disability, X-linked 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0014301>	"DDD3"	"Dowling-Degos disease 3"	"OMIM:615674"
<http://purl.obolibrary.org/obo/MONDO_0014301>	"DDD3"	"Dowling-Degos disease 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011387>	"PSORS4"	"psoriasis 4, susceptibility to"	"OMIM:603935"
<http://purl.obolibrary.org/obo/MONDO_0011387>	"PSORS4"	"psoriasis 4, susceptibility to"	"MONDO:Lexical"
